TransactionId,FraudResult
TransactionId_50600,7.0574274e-06
TransactionId_95109,1.1229246e-05
TransactionId_47357,8.0541595e-06
TransactionId_28185,6.973181e-06
TransactionId_22140,7.0574274e-06
TransactionId_134338,1.2225979e-05
TransactionId_109096,5.982483e-06
TransactionId_14249,-2.8264697e-06
TransactionId_69896,1.1132488e-05
TransactionId_91468,4.207741e-05
TransactionId_18862,1.9119543e-05
TransactionId_29342,1.2156519e-05
TransactionId_116873,1.10815745e-05
TransactionId_81197,-1.948316e-06
TransactionId_83120,6.135925e-06
TransactionId_40882,-4.465301e-07
TransactionId_89297,6.135925e-06
TransactionId_112716,-1.948316e-06
TransactionId_61794,7.4296063e-06
TransactionId_124957,5.3579292e-06
TransactionId_105927,6.135925e-06
TransactionId_23455,7.2108687e-06
TransactionId_44325,6.432873e-06
TransactionId_121440,6.062857e-06
TransactionId_72401,6.9865605e-06
TransactionId_122323,1.4373603e-07
TransactionId_100360,1.2320965e-05
TransactionId_121720,5.3579292e-06
TransactionId_121119,-1.521478e-06
TransactionId_39420,7.2108687e-06
TransactionId_129168,6.135925e-06
TransactionId_80103,5.3579292e-06
TransactionId_70335,6.432873e-06
TransactionId_62038,6.432873e-06
TransactionId_119958,6.062857e-06
TransactionId_70526,6.432873e-06
TransactionId_40395,6.432873e-06
TransactionId_78595,6.135925e-06
TransactionId_102888,5.2848623e-06
TransactionId_132575,5.2848623e-06
TransactionId_991,6.4434503e-06
TransactionId_132027,6.135925e-06
TransactionId_2972,5.446717e-06
TransactionId_138822,6.135925e-06
TransactionId_109088,5.3579292e-06
TransactionId_129468,6.281595e-06
TransactionId_88563,5.3579292e-06
TransactionId_81355,5.3579292e-06
TransactionId_76124,4.7467057e-07
TransactionId_44532,7.7162724e-07
TransactionId_81705,-1.0965217e-05
TransactionId_103079,4.7957687e-06
TransactionId_58855,5.8707114e-06
TransactionId_135949,8.58553e-06
TransactionId_138525,-1.0009373e-06
TransactionId_35887,9.250596e-07
TransactionId_129735,-9.2786826e-07
TransactionId_57922,-6.587451e-06
TransactionId_8566,-7.1363356e-06
TransactionId_78701,-6.798287e-06
TransactionId_71141,1.470775e-07
TransactionId_9127,-6.1092e-08
TransactionId_92018,-1.4988066e-07
TransactionId_96624,6.8856394e-08
TransactionId_35664,1.470775e-07
TransactionId_102953,-8.513447e-06
TransactionId_99746,-9.2786826e-07
TransactionId_131385,-4.211027e-09
TransactionId_6271,-5.04429e-06
TransactionId_21834,-5.723345e-06
TransactionId_59315,9.250596e-07
TransactionId_25732,1.470775e-07
TransactionId_133382,-2.2294817e-07
TransactionId_55046,2.4258235e-05
TransactionId_82222,-9.2786826e-07
TransactionId_135142,-6.798287e-06
TransactionId_66270,1.470775e-07
TransactionId_64712,-5.723345e-06
TransactionId_98932,-2.2294817e-07
TransactionId_122147,-9.2786826e-07
TransactionId_45920,9.250596e-07
TransactionId_115838,-9.2786826e-07
TransactionId_71045,-7.287269e-05
TransactionId_68387,1.5496109e-06
TransactionId_82700,-7.394762e-05
TransactionId_33027,7.7162724e-07
TransactionId_9378,-1.4175667e-05
TransactionId_13661,-7.7796665e-07
TransactionId_83505,-3.7368618e-06
TransactionId_126966,5.8787227e-05
TransactionId_63777,6.0288996e-05
TransactionId_36956,5.9862174e-05
TransactionId_108834,-9.2786826e-07
TransactionId_89292,-9.2786826e-07
TransactionId_98507,-9.2786826e-07
TransactionId_60362,9.250596e-07
TransactionId_59111,1.470775e-07
TransactionId_4722,-8.390799e-07
TransactionId_29893,-5.723345e-06
TransactionId_103059,-7.225125e-06
TransactionId_63555,8.5199196e-07
TransactionId_25898,7.4009975e-08
TransactionId_96948,-9.2786826e-07
TransactionId_90690,-6.798287e-06
TransactionId_23625,9.250596e-07
TransactionId_20059,9.250596e-07
TransactionId_22221,8.5199196e-07
TransactionId_18281,-8.439702e-06
TransactionId_18268,1.470775e-07
TransactionId_103226,-1.4988066e-07
TransactionId_100442,-1.4988066e-07
TransactionId_32651,1.470775e-07
TransactionId_82785,2.3961271e-05
TransactionId_85564,2.3961271e-05
TransactionId_29019,-6.1501823e-06
TransactionId_30611,-6.1501823e-06
TransactionId_35814,1.470775e-07
TransactionId_137440,-1.4988066e-07
TransactionId_122995,6.0351454e-06
TransactionId_103962,-9.2786826e-07
TransactionId_105990,-2.2294817e-07
TransactionId_105088,-9.2786826e-07
TransactionId_33792,9.250596e-07
TransactionId_95923,-9.2786826e-07
TransactionId_114981,-7.225125e-06
TransactionId_100174,6.8856394e-08
TransactionId_123960,-1.4988066e-07
TransactionId_10420,-7.1363356e-06
TransactionId_51526,1.1437951e-06
TransactionId_127443,-1.4988066e-07
TransactionId_22283,9.250596e-07
TransactionId_113727,-1.4988066e-07
TransactionId_45302,1.470775e-07
TransactionId_3846,-7.646673e-06
TransactionId_30250,0.0048160697
TransactionId_20522,-1.3965334e-05
TransactionId_62032,1.5496109e-06
TransactionId_34235,1.7683475e-06
TransactionId_48014,-7.002313e-06
TransactionId_25496,7.7162724e-07
TransactionId_2371,-7.884352e-06
TransactionId_90713,3.7717405e-06
TransactionId_50894,4.7736116e-06
TransactionId_21967,4.8466795e-06
TransactionId_63103,5.9862174e-05
TransactionId_98625,-9.2786826e-07
TransactionId_76886,6.8856394e-08
TransactionId_13307,1.470775e-07
TransactionId_67793,1.1437951e-06
TransactionId_55407,1.470775e-07
TransactionId_37366,9.250596e-07
TransactionId_87164,-1.4988066e-07
TransactionId_83606,-1.4988066e-07
TransactionId_110180,-9.2786826e-07
TransactionId_130256,-1.0009373e-06
TransactionId_8106,-8.390799e-07
TransactionId_70582,9.250596e-07
TransactionId_99743,-7.225125e-06
TransactionId_52273,3.647038e-07
TransactionId_134302,-1.4988066e-07
TransactionId_92615,-1.4882274e-06
TransactionId_12657,7.110091e-06
TransactionId_50717,9.250596e-07
TransactionId_140079,-2.3990733e-05
TransactionId_10668,-8.390799e-07
TransactionId_8023,-9.1214736e-07
TransactionId_94471,-9.2786826e-07
TransactionId_85903,-9.2786826e-07
TransactionId_140226,-9.2786826e-07
TransactionId_22853,7.4009975e-08
TransactionId_74757,1.2146951e-07
TransactionId_125128,-1.0009373e-06
TransactionId_6066,-9.1214736e-07
TransactionId_74290,-3.14896e-07
TransactionId_99172,-1.0009373e-06
TransactionId_54384,9.250596e-07
TransactionId_33601,1.470775e-07
TransactionId_22049,8.5199196e-07
TransactionId_33395,1.1437951e-06
TransactionId_121387,-9.2786826e-07
TransactionId_45879,9.250596e-07
TransactionId_123889,-0.0029911702
TransactionId_59526,1.1437951e-06
TransactionId_131602,-2.2294817e-07
TransactionId_98042,-9.2786826e-07
TransactionId_65256,1.5496109e-06
TransactionId_104612,4.7467057e-07
TransactionId_27395,1.5496109e-06
TransactionId_119206,-1.4419607e-05
TransactionId_54550,7.7162724e-07
TransactionId_85897,-3.0331438e-07
TransactionId_58375,1.5496109e-06
TransactionId_74032,-1.4584621e-05
TransactionId_28315,1.5496109e-06
TransactionId_9781,4.857247e-06
TransactionId_79146,4.549721e-06
TransactionId_26774,-0.00031828144
TransactionId_110178,4.549721e-06
TransactionId_118665,3.7717405e-06
TransactionId_83056,5.573753e-06
TransactionId_123637,4.7957687e-06
TransactionId_135778,5.500686e-06
TransactionId_128583,-1.4988066e-07
TransactionId_78505,-1.4988066e-07
TransactionId_79598,-1.4988066e-07
TransactionId_121922,-1.4988066e-07
TransactionId_91757,-1.4988066e-07
TransactionId_49559,1.470775e-07
TransactionId_93971,-1.4988066e-07
TransactionId_45174,1.470775e-07
TransactionId_135259,-9.2786826e-07
TransactionId_85175,-1.4988066e-07
TransactionId_124655,-9.2786826e-07
TransactionId_124212,6.8856394e-08
TransactionId_52631,9.250596e-07
TransactionId_139973,-1.0009373e-06
TransactionId_21635,1.470775e-07
TransactionId_22192,1.470775e-07
TransactionId_136901,6.8856394e-08
TransactionId_22889,9.250596e-07
TransactionId_10047,-8.390799e-07
TransactionId_61443,9.250596e-07
TransactionId_31887,7.4009975e-08
TransactionId_15667,1.1437951e-06
TransactionId_134721,-7.225125e-06
TransactionId_25136,-5.9314457e-06
TransactionId_25061,9.250596e-07
TransactionId_27832,1.470775e-07
TransactionId_95709,6.0351454e-06
TransactionId_88017,-1.4988066e-07
TransactionId_108233,6.8856394e-08
TransactionId_115179,-1.4988066e-07
TransactionId_117091,-1.4988066e-07
TransactionId_30721,1.470775e-07
TransactionId_93648,-1.5664842e-05
TransactionId_7518,-6.1092e-08
TransactionId_42395,1.1437951e-06
TransactionId_2293,8.4577444e-08
TransactionId_56119,9.250596e-07
TransactionId_110135,-1.4988066e-07
TransactionId_17218,8.5199196e-07
TransactionId_11686,-6.1501823e-06
TransactionId_105547,-2.2294817e-07
TransactionId_100041,-9.2786826e-07
TransactionId_58643,1.470775e-07
TransactionId_69054,1.470775e-07
TransactionId_121338,-1.0009373e-06
TransactionId_5596,-8.390799e-07
TransactionId_30542,-1.4589883e-05
TransactionId_68034,1.470775e-07
TransactionId_91340,5.360931e-07
TransactionId_119731,3.098024e-05
TransactionId_54539,7.7162724e-07
TransactionId_19297,1.5496109e-06
TransactionId_61198,1.5496109e-06
TransactionId_35402,1.5496109e-06
TransactionId_134434,4.7467057e-07
TransactionId_83907,-3.0331438e-07
TransactionId_22701,7.7162724e-07
TransactionId_82297,4.7467057e-07
TransactionId_124790,5.7214247e-06
TransactionId_133576,6.934066e-07
TransactionId_70558,5.843402e-06
TransactionId_124627,3.7717405e-06
TransactionId_111815,-3.5181254e-06
TransactionId_5778,-3.4293378e-06
TransactionId_28894,6.6486964e-06
TransactionId_110767,3.7585346e-06
TransactionId_58250,1.470775e-07
TransactionId_44851,7.6883725e-06
TransactionId_38942,1.1437951e-06
TransactionId_105455,-1.4988066e-07
TransactionId_96255,-1.4988066e-07
TransactionId_95383,-9.2786826e-07
TransactionId_16017,1.470775e-07
TransactionId_16875,1.470775e-07
TransactionId_22998,-5.723345e-06
TransactionId_103917,-9.2786826e-07
TransactionId_113264,-1.0009373e-06
TransactionId_121485,-1.4988066e-07
TransactionId_79516,-1.4988066e-07
TransactionId_112429,-1.0009373e-06
TransactionId_100182,-7.516724e-06
TransactionId_44775,8.5199196e-07
TransactionId_25256,9.250596e-07
TransactionId_75434,4.6308904e-07
TransactionId_8090,-8.390799e-07
TransactionId_108655,-1.0009373e-06
TransactionId_71502,9.250596e-07
TransactionId_95198,-9.2786826e-07
TransactionId_26274,1.470775e-07
TransactionId_101104,-1.4988066e-07
TransactionId_6298,-8.390799e-07
TransactionId_59001,1.470775e-07
TransactionId_15930,9.250596e-07
TransactionId_52833,1.470775e-07
TransactionId_100752,-1.4988066e-07
TransactionId_44356,1.470775e-07
TransactionId_43193,7.4009975e-08
TransactionId_82556,6.8856394e-08
TransactionId_16332,9.250596e-07
TransactionId_68799,1.470775e-07
TransactionId_111325,-1.4988066e-07
TransactionId_83948,-1.0009373e-06
TransactionId_25231,1.470775e-07
TransactionId_46274,1.470775e-07
TransactionId_5195,-6.1092e-08
TransactionId_129670,-1.4988066e-07
TransactionId_36380,1.470775e-07
TransactionId_87745,4.7467057e-07
TransactionId_103234,-3.0331438e-07
TransactionId_40812,-0.0005542313
TransactionId_113011,-4.3576234e-05
TransactionId_82101,-3.0331438e-07
TransactionId_86603,0.0010073134
TransactionId_63018,1.7683475e-06
TransactionId_57617,1.5496109e-06
TransactionId_37899,7.7162724e-07
TransactionId_43971,6.1431416e-07
TransactionId_18184,-0.0011873142
TransactionId_100428,3.7717405e-06
TransactionId_5369,5.0291164e-06
TransactionId_90439,4.7957687e-06
TransactionId_99894,4.7957687e-06
TransactionId_59114,-0.017691085
TransactionId_36185,1.0014216
TransactionId_70295,8.5199196e-07
TransactionId_98831,-1.4988066e-07
TransactionId_18001,0.9995384
TransactionId_140530,-9.2786826e-07
TransactionId_38835,0.99989563
TransactionId_111983,-6.798287e-06
TransactionId_73741,7.0076226e-07
TransactionId_20177,1.470775e-07
TransactionId_138004,-1.4988066e-07
TransactionId_34607,9.250596e-07
TransactionId_519,-6.1092e-08
TransactionId_7225,-1.3994389e-06
TransactionId_13933,9.250596e-07
TransactionId_120157,6.8856394e-08
TransactionId_120624,-1.0009373e-06
TransactionId_138257,-1.4988066e-07
TransactionId_110146,-7.0063875e-06
TransactionId_97714,7.022136e-06
TransactionId_16053,1.470775e-07
TransactionId_117729,-5.559915e-06
TransactionId_94560,-6.798287e-06
TransactionId_87926,-9.2786826e-07
TransactionId_118225,-1.4988066e-07
TransactionId_6921,-8.390799e-07
TransactionId_39479,9.250596e-07
TransactionId_54237,1.470775e-07
TransactionId_90110,-9.2786826e-07
TransactionId_26936,7.110091e-06
TransactionId_56254,1.470775e-07
TransactionId_3023,-6.1092e-08
TransactionId_81454,-1.4988066e-07
TransactionId_61431,1.470775e-07
TransactionId_113050,-1.0009373e-06
TransactionId_30318,7.110091e-06
TransactionId_105686,-9.2786826e-07
TransactionId_84798,2.9791814e-05
TransactionId_123058,-6.798287e-06
TransactionId_137904,-1.4988066e-07
TransactionId_102526,-0.0052883844
TransactionId_26886,7.7162724e-07
TransactionId_48210,-1.3189513e-05
